鱼id,鱼的名字,鱼的玩法类型,客户端创建鱼类型,鱼的半径,倍率最小值,倍率最大值,死亡倍率,可能触发双倍奖励所需最低倍率,组合鱼携带子鱼个数,组合鱼位置1可选子鱼id列表-1,组合鱼位置2可选子鱼id列表-2,组合鱼位置3可选子鱼id列表-3,组合鱼位置4可选子鱼id列表-4,组合鱼位置5可选子鱼id列表-5,组合鱼位置6可选子鱼id列表-6,鱼死亡伤害半径,鱼死亡可伤害的鱼id列表,鱼层级最小值,鱼层级最大值,鱼死亡的层级,鱼死亡延迟时间,鱼创建时的音效,鱼死亡时的音效,鱼移动动画名字,鱼死亡动画名字,锁定鱼的图片,金币数量,鱼死亡效果Id,被特效鱼杀死的小鱼死亡效果id,鱼死亡的旋转角度,是否有出鱼提示,出鱼提示资源,出鱼提示动画,出鱼提示时间,手机是否震动,是否抖屏,出生特效,死亡特效01类型,死亡特效01的生命时间,是否出现显示内容,显示内容概率,显示时间,提示内容信息-1
9,章鱼,1,1,53,10,10,10,30,0,0,0,0,0,0,0,0,0,-720,-690,-20,2,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,4,1001,0,180,0,0,0,0,0,0,0,0,0,0,0.2,3,来打我呀！！！
10,水母,1,1,54,12,12,12,30,0,0,0,0,0,0,0,0,0,-685,-655,-20,2,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,4,1001,0,180,0,0,0,0,0,0,0,0,0,0,0.2,3,来打我呀！！！
11,灯笼鱼,1,1,60.5,15,15,15,30,0,0,0,0,0,0,0,0,0,-650,-620,-20,2,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,4,1001,0,180,0,0,0,0,0,0,0,0,0,0,0.2,3,来打我呀！！！
12,海龟,1,1,63,18,18,18,30,0,0,0,0,0,0,0,0,0,-615,-585,-20,2,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,2,1001,0,180,0,0,0,0,0,0,0,0,0,0,0.2,3,来打我呀！！！
13,锯齿鲨,1,1,83,20,20,20,30,0,0,0,0,0,0,0,0,0,-580,-550,-20,2,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,2,1001,0,180,0,0,0,0,0,0,0,0,0,0,0.2,3,来打我呀！！！
14,蝠魟,1,1,85,25,25,25,30,0,0,0,0,0,0,0,0,0,-545,-515,-20,2,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,2,1001,0,15,0,0,0,0,0,0,0,0,0,0,0.2,3,来打我呀！！！
15,橘狮子鱼,1,1,104,10,30,30,30,0,0,0,0,0,0,0,0,0,-510,-480,-15,7,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,3,1002,0,540,0,0,0,0,0,1,0,0,0,0,0.2,3,来打我呀！！！
16,闪电魟鱼,1,1,135,10,30,30,30,0,0,0,0,0,0,0,0,0,-475,-445,-15,7,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,3,1002,0,540,0,0,0,0,0,1,0,0,0,0,0.2,3,来打我呀！！！
17,红旗鱼,1,1,141,10,30,30,30,0,0,0,0,0,0,0,0,0,-440,-410,-15,7,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,3,1002,0,540,0,0,0,0,0,1,0,0,0,0,0.05,3,来打我呀！！！
18,巨大小丑鱼,1,1,183,35,35,35,30,0,0,0,0,0,0,0,0,0,-400,-390,-15,9,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,5,1003,0,540,0,0,0,0,0,1,0,0,0,1,0.08,3,疼疼疼！轻点轻点
19,巨大鲽鱼,1,1,74.5,40,40,40,30,0,0,0,0,0,0,0,0,0,-385,-375,-15,9,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,5,1003,0,540,0,0,0,0,0,1,0,0,0,1,0.1,3,来打我呀:我不怕你！
20,巨大河豚,1,1,216,45,45,45,30,0,0,0,0,0,0,0,0,0,-370,-360,-15,9,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,5,1003,0,540,0,0,0,0,0,1,0,0,0,1,0.1,3,神仙打架:殃及鱼池！
21,鲨鱼,1,1,216,50,50,50,30,0,0,0,0,0,0,0,0,0,-355,-345,-15,9,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,5,1003,0,540,0,0,0,0,0,1,0,0,0,1,0.1,3,大哥！别老打我呀！
22,黄金小丑鱼,1,1,104,40,100,0,30,0,0,0,0,0,0,0,0,0,-340,-330,-15,9,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,6,1003,0,540,0,0,0,0,0,1,0,0,0,1,0.2,3,离我远点！
23,黄金鲽鱼,1,1,126,60,120,0,30,0,0,0,0,0,0,0,0,0,-325,-315,-15,9,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,6,1003,0,540,0,0,0,0,0,1,0,0,0,1,0.2,3,嘤嘤嘤！
24,黄金河豚,1,1,205,60,150,0,30,0,0,0,0,0,0,0,0,0,-310,-300,-15,9,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,6,1003,0,540,0,0,0,0,0,1,0,0,0,1,0.2,3,一点都不疼！
25,黄金鲨鱼,1,1,142,40,180,0,30,0,0,0,0,0,0,0,0,0,-295,-285,-15,9,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,7,1003,0,540,0,0,0,0,0,1,0,0,0,1,0.2,3,你赢不了我！
26,杀人鲸,1,3,172,120,120,0,30,0,0,0,0,0,0,0,0,0,-280,-270,-15,9,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,SWIM,CATCH,1,7,1003,0,540,0,0,0,0,0,1,0,0,0,1,0.2,3,咬碎一切！
27,黄金杀人鲸,1,3,209,140,140,0,30,0,0,0,0,0,0,0,0,0,-275,-265,-15,9,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,SWIM,CATCH,1,7,1003,0,540,0,0,0,0,1,1,0,0,0,1,0.2,3,来！一起嗨起来吧！
28,座头鲸,1,3,209,50,200,0,30,0,0,0,0,0,0,0,0,0,-40,-30,-14,9,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,SWIM,CATCH,1,10,1003,0,540,0,0,0,0,1,1,0,0,0,1,0.2,3,你是在玩火！
29,龙虾将军,1,3,209,80,250,0,30,0,0,0,0,0,0,0,0,0,-40,-30,-13,9,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,SWIM,nil,1,10,1003,0,540,0,0,0,0,1,1,0,0,0,1,0.2,3,来打我呀:我不怕你！
30,狂暴火龙,1,6,209,150,300,0,30,0,0,0,0,0,0,0,0,0,-40,-30,-12,9,0,21,nil,Fish_Catch,1,0,1021,0,0,0,0,0,0,1,1,0,0,0,1,0.2,3,来打我呀！！！
31,旋风鱼,2,2,99,10,10,50,30,1,1:2:3:4:5:6:7:8:9:10:11,0,0,0,0,0,400,1:2:3:4:5:6:7:8:9:10:11,-195,-175,-15,60,0,38,nil,nil,1,8,1004,1005,180,1,Fish_Coming_xuanfengyu,Fishc_Coming_Tips,1.9,1,1,0,0,0,1,0.2,3,嘤嘤嘤！
32,电光水母,17,3,99,10,10,50,30,1,0,0,0,0,0,0,400,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,-40,-30,-10,60,0,39,SWIM,nil,1,0,1006,1007,180,1,Fish_Coming_dianguangshuimu,Fishc_Coming_Tips,1.9,1,1,0,0,0,1,0.2,3,疼疼疼！轻点轻点
33,炸弹蟹,18,1,94,10,10,80,30,1,0,0,0,0,0,0,250,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25,-170,-160,-10,8,0,46,Fish_Move,Fish_Catch,1,0,1012,1013,0,1,Fish_Coming_zhadanyu,Fishc_Coming_Tips,1.9,1,1,0,0,0,1,0.2,3,别惹我:生气了连我自己都炸！
34,钻头蟹,11,1,100,10,10,100,30,2,0,0,0,0,0,0,250,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25,-155,-145,-10,60,0,49,Fish_Move,Fish_Catch,1,0,1010,1011,180,1,Fish_Coming_zuantouxie,Fishc_Coming_Tips,1.9,1,1,0,0,0,1,0.2,3,来打我呀！！！
35,连环炸弹蟹,15,1,120,10,10,150,30,3,0,0,0,0,0,0,250,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25,-140,-130,-10,20,0,46,Fish_Move,Fish_Catch,1,0,1014,1015,0,1,Fish_Coming_lianhuanzhadan,Fishc_Coming_Tips,1.9,1,1,0,0,0,1,0.2,3,别惹我:生气了连我自己都炸！
36,连环钻头蟹,12,1,145,10,10,0,30,5,0,0,0,0,0,0,9999,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25,-125,-115,-10,60,0,nil,Fish_Move,Fish_Catch,1,0,1002,0,0,0,0,0,0,1,1,0,0,0,1,0.2,3,疼疼疼！轻点轻点
37,电磁蟹,10,1,137,10,10,80,30,0,0,0,0,0,0,0,9999,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25,-110,-100,-10,60,0,49,Fish_Move,Fish_Catch,1,0,1008,1009,180,1,Fish_Coming_dianciyu,Fishc_Coming_Tips,1.9,1,1,0,0,0,1,0.2,3,大哥！别老打我呀！
38,烈焰风暴,13,1,128,10,10,60,30,0,0,0,0,0,0,0,9999,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25,-95,-80,-10,60,65,nil,Fish_Move,Fish_Catch,1,0,1016,1017,0,1,ComingUp_FireStorm,ComingUp_FS,3.7,1,1,0,0,0,1,0.2,3,你赢不了我！
39,霸王蟹,16,5,123,120,120,120,30,2,1,1,0,0,0,0,9999,0,-40,-30,-10,60,69,62,Fish_Born,Fish_Catch,1,0,1020,0,0,1,SpiderCrabBoss_Coming,boss_coming,4,1,1,Effect_Warning,1,1.5,1,0.2,3,咬碎一切！
40,奔牛,14,1,109,10,10,80,30,0,0,0,0,0,0,0,9999,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25,-75,-60,-10,30,65,58,Fish_Move,Fish_Catch,1,0,1018,1019,0,1,Bisons_Coming,Bisons_Coming,2.7,1,1,0,0,0,1,0.2,3,你是在玩火！
41,大盘鱼1,1,2,99,70,70,70,30,3,18,22,18,0,0,0,0,0,-260,-250,-15,60,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,nil,nil,1,10,1003,0,180,0,0,0,0,1,1,0,0,0,1,0.2,3,嘤嘤嘤！
42,大盘鱼2,1,2,99,80,80,80,30,3,23,19,19,0,0,0,0,0,-245,-235,-15,60,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,nil,nil,1,10,1003,0,180,0,0,0,0,1,1,0,0,0,1,0.2,3,来打我呀！！！
43,大盘鱼3,1,2,99,100,100,100,30,5,24,20,20,20,20,0,0,0,-230,-210,-15,60,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,nil,nil,1,10,1003,0,180,0,0,0,0,1,1,0,0,0,1,0.2,3,神仙打架:殃及鱼池！
